variable;nuts3;year;value
Enterprise_population;AT121;2008;5409
Enterprise_population;AT121;2009;5562
Enterprise_population;AT121;2010;5668
Enterprise_population;AT121;2011;5767
Enterprise_population;AT121;2012;5773
Enterprise_population;AT121;2013;5345
Enterprise_population;AT121;2014;5299
Enterprise_population;AT121;2015;5313
Enterprise_population;AT121;2016;5270
Enterprise_population;AT121;2017;5298
Enterprise_population;AT121;2018;5249
Enterprise_population;AT121;2019;5163
Enterprise_population;AT122;2008;6298
Enterprise_population;AT122;2009;6373
Enterprise_population;AT122;2010;6569
Enterprise_population;AT122;2011;6640
Enterprise_population;AT122;2012;6673
Enterprise_population;AT122;2013;6037
Enterprise_population;AT122;2014;6090
Enterprise_population;AT122;2015;6109
Enterprise_population;AT122;2016;6135
Enterprise_population;AT122;2017;6150
Enterprise_population;AT122;2018;6120
Enterprise_population;AT122;2019;5998
Enterprise_population;AT123;2008;3680
Enterprise_population;AT123;2009;3787
Enterprise_population;AT123;2010;3910
Enterprise_population;AT123;2011;3937
Enterprise_population;AT123;2012;3948
Enterprise_population;AT123;2013;3543
Enterprise_population;AT123;2014;3537
Enterprise_population;AT123;2015;3558
Enterprise_population;AT123;2016;3590
Enterprise_population;AT123;2017;3573
Enterprise_population;AT123;2018;3535
Enterprise_population;AT123;2019;3497
Enterprise_population;AT124;2008;5330
Enterprise_population;AT124;2009;5416
Enterprise_population;AT124;2010;5571
Enterprise_population;AT124;2011;5598
Enterprise_population;AT124;2012;5634
Enterprise_population;AT124;2013;5190
Enterprise_population;AT124;2014;5138
Enterprise_population;AT124;2015;5147
Enterprise_population;AT124;2016;5141
Enterprise_population;AT124;2017;5144
Enterprise_population;AT124;2018;5113
Enterprise_population;AT124;2019;4987
Enterprise_population;AT125;2008;2284
Enterprise_population;AT125;2009;2330
Enterprise_population;AT125;2010;2382
Enterprise_population;AT125;2011;2401
Enterprise_population;AT125;2012;2428
Enterprise_population;AT125;2013;2173
Enterprise_population;AT125;2014;2175
Enterprise_population;AT125;2015;2202
Enterprise_population;AT125;2016;2210
Enterprise_population;AT125;2017;2220
Enterprise_population;AT125;2018;2213
Enterprise_population;AT125;2019;2165
Enterprise_population;AT126;2008;7532
Enterprise_population;AT126;2009;7770
Enterprise_population;AT126;2010;8008
Enterprise_population;AT126;2011;8119
Enterprise_population;AT126;2012;8244
Enterprise_population;AT126;2013;7454
Enterprise_population;AT126;2014;7534
Enterprise_population;AT126;2015;7523
Enterprise_population;AT126;2016;7576
Enterprise_population;AT126;2017;7671
Enterprise_population;AT126;2018;7696
Enterprise_population;AT126;2019;7677
Enterprise_population;AT127;2008;9730
Enterprise_population;AT127;2009;9992
Enterprise_population;AT127;2010;10398
Enterprise_population;AT127;2011;10618
Enterprise_population;AT127;2012;10758
Enterprise_population;AT127;2013;9864
Enterprise_population;AT127;2014;9876
Enterprise_population;AT127;2015;9900
Enterprise_population;AT127;2016;9849
Enterprise_population;AT127;2017;9855
Enterprise_population;AT127;2018;9880
Enterprise_population;AT127;2019;9794
Enterprise_population;AT13;2008;52763
Enterprise_population;AT13;2009;54578
Enterprise_population;AT13;2010;57005
Enterprise_population;AT13;2011;58173
Enterprise_population;AT13;2012;59252
Enterprise_population;AT13;2013;52545
Enterprise_population;AT13;2014;52511
Enterprise_population;AT13;2015;52460
Enterprise_population;AT13;2016;52653
Enterprise_population;AT13;2017;52999
Enterprise_population;AT13;2018;53180
Enterprise_population;AT13;2019;52522
Enterprise_population;AT130;2008;52763
Enterprise_population;AT130;2009;54578
Enterprise_population;AT130;2010;57005
Enterprise_population;AT130;2011;58173
Enterprise_population;AT130;2012;59252
Enterprise_population;AT130;2013;52545
Enterprise_population;AT130;2014;52511
Enterprise_population;AT130;2015;52460
Enterprise_population;AT130;2016;52653
Enterprise_population;AT130;2017;52999
Enterprise_population;AT130;2018;53180
Enterprise_population;AT130;2019;52522
Enterprise_population;AT2;2008;49348
Enterprise_population;AT2;2009;50619
Enterprise_population;AT2;2010;52157
Enterprise_population;AT2;2011;52857
Enterprise_population;AT2;2012;53212
Enterprise_population;AT2;2013;48385
Enterprise_population;AT2;2014;48378
Enterprise_population;AT2;2015;47820
Enterprise_population;AT2;2016;47634
Enterprise_population;AT2;2017;47736
Enterprise_population;AT2;2018;47683
Enterprise_population;AT2;2019;46705
Enterprise_population;AT21;2008;16549
Enterprise_population;AT21;2009;17019
Enterprise_population;AT21;2010;17632
Enterprise_population;AT21;2011;17957
Enterprise_population;AT21;2012;18052
Enterprise_population;AT21;2013;16217
Enterprise_population;AT21;2014;16215
Enterprise_population;AT21;2015;16023
Enterprise_population;AT21;2016;15953
Enterprise_population;AT21;2017;15911
Enterprise_population;AT21;2018;15913
Enterprise_population;AT21;2019;15581
Enterprise_population;AT211;2008;8811
Enterprise_population;AT211;2009;9131
Enterprise_population;AT211;2010;9449
Enterprise_population;AT211;2011;9633
Enterprise_population;AT211;2012;9691
Enterprise_population;AT211;2013;8570
Enterprise_population;AT211;2014;8558
Enterprise_population;AT211;2015;8451
Enterprise_population;AT211;2016;8390
Enterprise_population;AT211;2017;8402
Enterprise_population;AT211;2018;8443
Enterprise_population;AT211;2019;8271
Enterprise_population;AT212;2008;3856
Enterprise_population;AT212;2009;3908
Enterprise_population;AT212;2010;4082
Enterprise_population;AT212;2011;4179
Enterprise_population;AT212;2012;4186
Enterprise_population;AT212;2013;3824
Enterprise_population;AT212;2014;3835
Enterprise_population;AT212;2015;3778
Enterprise_population;AT212;2016;3755
Enterprise_population;AT212;2017;3704
Enterprise_population;AT212;2018;3710
Enterprise_population;AT212;2019;3635
Enterprise_population;AT213;2008;3882
Enterprise_population;AT213;2009;3980
Enterprise_population;AT213;2010;4101
Enterprise_population;AT213;2011;4145
Enterprise_population;AT213;2012;4175
Enterprise_population;AT213;2013;3823
Enterprise_population;AT213;2014;3822
Enterprise_population;AT213;2015;3794
Enterprise_population;AT213;2016;3808
Enterprise_population;AT213;2017;3805
Enterprise_population;AT213;2018;3760
Enterprise_population;AT213;2019;3675
Enterprise_population;AT22;2008;32799
Enterprise_population;AT22;2009;33600
Enterprise_population;AT22;2010;34525
Enterprise_population;AT22;2011;34900
Enterprise_population;AT22;2012;35160
Enterprise_population;AT22;2013;32168
Enterprise_population;AT22;2014;32163
Enterprise_population;AT22;2015;31797
Enterprise_population;AT22;2016;31681
Enterprise_population;AT22;2017;31825
Enterprise_population;AT22;2018;31770
Enterprise_population;AT22;2019;31124
Enterprise_population;AT221;2008;12246
Enterprise_population;AT221;2009;12614
Enterprise_population;AT221;2010;12975
Enterprise_population;AT221;2011;13135
Enterprise_population;AT221;2012;13354
Enterprise_population;AT221;2013;11984
Enterprise_population;AT221;2014;12034
Enterprise_population;AT221;2015;11942
Enterprise_population;AT221;2016;11916
Enterprise_population;AT221;2017;11974
Enterprise_population;AT221;2018;11964
Enterprise_population;AT221;2019;11782
Enterprise_population;AT222;2008;2572
Enterprise_population;AT222;2009;2611
Enterprise_population;AT222;2010;2689
Enterprise_population;AT222;2011;2705
Enterprise_population;AT222;2012;2696
Enterprise_population;AT222;2013;2484
Enterprise_population;AT222;2014;2435
Enterprise_population;AT222;2015;2394
Enterprise_population;AT222;2016;2419
Enterprise_population;AT222;2017;2441
Enterprise_population;AT222;2018;2449
Enterprise_population;AT222;2019;2397
Enterprise_population;AT223;2008;3917
Enterprise_population;AT223;2009;3965
Enterprise_population;AT223;2010;4050
Enterprise_population;AT223;2011;4054
Enterprise_population;AT223;2012;4047
Enterprise_population;AT223;2013;3686
Enterprise_population;AT223;2014;3664
Enterprise_population;AT223;2015;3585
Enterprise_population;AT223;2016;3540
Enterprise_population;AT223;2017;3516
Enterprise_population;AT223;2018;3452
Enterprise_population;AT223;2019;3337
Enterprise_population;AT224;2008;6516
Enterprise_population;AT224;2009;6668
Enterprise_population;AT224;2010;6829
Enterprise_population;AT224;2011;6945
Enterprise_population;AT224;2012;7030
Enterprise_population;AT224;2013;6597
Enterprise_population;AT224;2014;6673
Enterprise_population;AT224;2015;6573
Enterprise_population;AT224;2016;6525
Enterprise_population;AT224;2017;6605
Enterprise_population;AT224;2018;6597
Enterprise_population;AT224;2019;6448
Enterprise_population;AT225;2008;4976
Enterprise_population;AT225;2009;5122
Enterprise_population;AT225;2010;5284
Enterprise_population;AT225;2011;5340
Enterprise_population;AT225;2012;5331
Enterprise_population;AT225;2013;4950
Enterprise_population;AT225;2014;4874
Enterprise_population;AT225;2015;4855
Enterprise_population;AT225;2016;4856
Enterprise_population;AT225;2017;4850
Enterprise_population;AT225;2018;4890
Enterprise_population;AT225;2019;4833
Enterprise_population;AT226;2008;2572
Enterprise_population;AT226;2009;2620
Enterprise_population;AT226;2010;2698
Enterprise_population;AT226;2011;2721
Enterprise_population;AT226;2012;2702
Enterprise_population;AT226;2013;2467
Enterprise_population;AT226;2014;2483
Enterprise_population;AT226;2015;2448
Enterprise_population;AT226;2016;2425
Enterprise_population;AT226;2017;2439
Enterprise_population;AT226;2018;2418
Enterprise_population;AT226;2019;2327
Enterprise_population;AT3;2008;93473
Enterprise_population;AT3;2009;96262
Enterprise_population;AT3;2010;99257
Enterprise_population;AT3;2011;100275
Enterprise_population;AT3;2012;100807
Enterprise_population;AT3;2013;91040
Enterprise_population;AT3;2014;90671
Enterprise_population;AT3;2015;89795
Enterprise_population;AT3;2016;89800
Enterprise_population;AT3;2017;89912
Enterprise_population;AT3;2018;89781
Enterprise_population;AT3;2019;88851
Enterprise_population;AT31;2008;36293
Enterprise_population;AT31;2009;37404
Enterprise_population;AT31;2010;38567
Enterprise_population;AT31;2011;38923
Enterprise_population;AT31;2012;39143
Enterprise_population;AT31;2013;35481
Enterprise_population;AT31;2014;35411
Enterprise_population;AT31;2015;35010
Enterprise_population;AT31;2016;34959
Enterprise_population;AT31;2017;35005
Enterprise_population;AT31;2018;34851
Enterprise_population;AT31;2019;34455
Enterprise_population;AT311;2008;6652
Enterprise_population;AT311;2009;6884
Enterprise_population;AT311;2010;7098
Enterprise_population;AT311;2011;7119
Enterprise_population;AT311;2012;7114
Enterprise_population;AT311;2013;6560
Enterprise_population;AT311;2014;6557
Enterprise_population;AT311;2015;6517
Enterprise_population;AT311;2016;6535
Enterprise_population;AT311;2017;6575
Enterprise_population;AT311;2018;6547
Enterprise_population;AT311;2019;6496
Enterprise_population;AT312;2008;15014
Enterprise_population;AT312;2009;15465
Enterprise_population;AT312;2010;15998
Enterprise_population;AT312;2011;16246
Enterprise_population;AT312;2012;16359
Enterprise_population;AT312;2013;14699
Enterprise_population;AT312;2014;14707
Enterprise_population;AT312;2015;14500
Enterprise_population;AT312;2016;14499
Enterprise_population;AT312;2017;14412
Enterprise_population;AT312;2018;14327
Enterprise_population;AT312;2019;14213
Enterprise_population;AT313;2008;4319
Enterprise_population;AT313;2009;4473
Enterprise_population;AT313;2010;4572
Enterprise_population;AT313;2011;4624
Enterprise_population;AT313;2012;4646
Enterprise_population;AT313;2013;4237
Enterprise_population;AT313;2014;4271
Enterprise_population;AT313;2015;4242
Enterprise_population;AT313;2016;4224
Enterprise_population;AT313;2017;4230
Enterprise_population;AT313;2018;4222
Enterprise_population;AT313;2019;4179
Enterprise_population;AT314;2008;3808
Enterprise_population;AT314;2009;3913
Enterprise_population;AT314;2010;4002
Enterprise_population;AT314;2011;4015
Enterprise_population;AT314;2012;4039
Enterprise_population;AT314;2013;3635
Enterprise_population;AT314;2014;3601
Enterprise_population;AT314;2015;3547
Enterprise_population;AT314;2016;3534
Enterprise_population;AT314;2017;3513
Enterprise_population;AT314;2018;3510
Enterprise_population;AT314;2019;3439
Enterprise_population;AT315;2008;6500
Enterprise_population;AT315;2009;6669
Enterprise_population;AT315;2010;6897
Enterprise_population;AT315;2011;6919
Enterprise_population;AT315;2012;6985
Enterprise_population;AT315;2013;6350
Enterprise_population;AT315;2014;6275
Enterprise_population;AT315;2015;6204
Enterprise_population;AT315;2016;6167
Enterprise_population;AT315;2017;6275
Enterprise_population;AT315;2018;6245
Enterprise_population;AT315;2019;6128
Enterprise_population;AT32;2008;20054
Enterprise_population;AT32;2009;20706
Enterprise_population;AT32;2010;21390
Enterprise_population;AT32;2011;21654
Enterprise_population;AT32;2012;21846
Enterprise_population;AT32;2013;19786
Enterprise_population;AT32;2014;19544
Enterprise_population;AT32;2015;19274
Enterprise_population;AT32;2016;19268
Enterprise_population;AT32;2017;19230
Enterprise_population;AT32;2018;19175
Enterprise_population;AT32;2019;18922
Enterprise_population;AT321;2008;704
Enterprise_population;AT321;2009;714
Enterprise_population;AT321;2010;740
Enterprise_population;AT321;2011;746
Enterprise_population;AT321;2012;750
Enterprise_population;AT321;2013;682
Enterprise_population;AT321;2014;678
Enterprise_population;AT321;2015;670
Enterprise_population;AT321;2016;672
Enterprise_population;AT321;2017;678
Enterprise_population;AT321;2018;676
Enterprise_population;AT321;2019;659
Enterprise_population;AT322;2008;6612
Enterprise_population;AT322;2009;6815
Enterprise_population;AT322;2010;7031
Enterprise_population;AT322;2011;7203
Enterprise_population;AT322;2012;7249
Enterprise_population;AT322;2013;6635
Enterprise_population;AT322;2014;6548
Enterprise_population;AT322;2015;6517
Enterprise_population;AT322;2016;6536
Enterprise_population;AT322;2017;6563
Enterprise_population;AT322;2018;6525
Enterprise_population;AT322;2019;6424
Enterprise_population;AT323;2008;12738
Enterprise_population;AT323;2009;13177
Enterprise_population;AT323;2010;13619
Enterprise_population;AT323;2011;13705
Enterprise_population;AT323;2012;13847
Enterprise_population;AT323;2013;12469
Enterprise_population;AT323;2014;12318
Enterprise_population;AT323;2015;12087
Enterprise_population;AT323;2016;12060
Enterprise_population;AT323;2017;11989
Enterprise_population;AT323;2018;11974
Enterprise_population;AT323;2019;11839
Enterprise_population;AT33;2008;25361
Enterprise_population;AT33;2009;26138
Enterprise_population;AT33;2010;26925
Enterprise_population;AT33;2011;27190
Enterprise_population;AT33;2012;27297
Enterprise_population;AT33;2013;24512
Enterprise_population;AT33;2014;24505
Enterprise_population;AT33;2015;24515
Enterprise_population;AT33;2016;24632
Enterprise_population;AT33;2017;24732
Enterprise_population;AT33;2018;24822
Enterprise_population;AT33;2019;24606
Enterprise_population;AT331;2008;1159
Enterprise_population;AT331;2009;1184
Enterprise_population;AT331;2010;1206
Enterprise_population;AT331;2011;1222
Enterprise_population;AT331;2012;1230
Enterprise_population;AT331;2013;1118
Enterprise_population;AT331;2014;1107
Enterprise_population;AT331;2015;1107
Enterprise_population;AT331;2016;1134
Enterprise_population;AT331;2017;1150
Enterprise_population;AT331;2018;1142
Enterprise_population;AT331;2019;1130
Enterprise_population;AT332;2008;9572
Enterprise_population;AT332;2009;9895
Enterprise_population;AT332;2010;10181
Enterprise_population;AT332;2011;10315
Enterprise_population;AT332;2012;10382
Enterprise_population;AT332;2013;9184
Enterprise_population;AT332;2014;9149
Enterprise_population;AT332;2015;9118
Enterprise_population;AT332;2016;9129
Enterprise_population;AT332;2017;9139
Enterprise_population;AT332;2018;9192
Enterprise_population;AT332;2019;9095
Enterprise_population;AT333;2008;1545
Enterprise_population;AT333;2009;1588
Enterprise_population;AT333;2010;1616
Enterprise_population;AT333;2011;1608
Enterprise_population;AT333;2012;1601
Enterprise_population;AT333;2013;1431
Enterprise_population;AT333;2014;1428
Enterprise_population;AT333;2015;1413
Enterprise_population;AT333;2016;1406
Enterprise_population;AT333;2017;1425
Enterprise_population;AT333;2018;1401
Enterprise_population;AT333;2019;1401
Enterprise_population;AT334;2008;4044
Enterprise_population;AT334;2009;4144
Enterprise_population;AT334;2010;4276
Enterprise_population;AT334;2011;4339
Enterprise_population;AT334;2012;4334
Enterprise_population;AT334;2013;3943
Enterprise_population;AT334;2014;3933
Enterprise_population;AT334;2015;3997
Enterprise_population;AT334;2016;4026
Enterprise_population;AT334;2017;4070
Enterprise_population;AT334;2018;4143
Enterprise_population;AT334;2019;4067
Enterprise_population;AT335;2008;9041
Enterprise_population;AT335;2009;9327
Enterprise_population;AT335;2010;9646
Enterprise_population;AT335;2011;9706
Enterprise_population;AT335;2012;9750
Enterprise_population;AT335;2013;8836
Enterprise_population;AT335;2014;8888
Enterprise_population;AT335;2015;8880
Enterprise_population;AT335;2016;8937
Enterprise_population;AT335;2017;8948
Enterprise_population;AT335;2018;8944
Enterprise_population;AT335;2019;8913
Enterprise_population;AT34;2008;11765
Enterprise_population;AT34;2009;12014
Enterprise_population;AT34;2010;12375
Enterprise_population;AT34;2011;12508
Enterprise_population;AT34;2012;12521
Enterprise_population;AT34;2013;11261
Enterprise_population;AT34;2014;11211
Enterprise_population;AT34;2015;10996
Enterprise_population;AT34;2016;10941
Enterprise_population;AT34;2017;10945
Enterprise_population;AT34;2018;10933
Enterprise_population;AT34;2019;10868
Enterprise_population;AT341;2008;3255
Enterprise_population;AT341;2009;3312
Enterprise_population;AT341;2010;3404
Enterprise_population;AT341;2011;3438
Enterprise_population;AT341;2012;3429
Enterprise_population;AT341;2013;3119
Enterprise_population;AT341;2014;3119
Enterprise_population;AT341;2015;3069
Enterprise_population;AT341;2016;3071
Enterprise_population;AT341;2017;3026
Enterprise_population;AT341;2018;3076
Enterprise_population;AT341;2019;3036
Enterprise_population;AT342;2008;8510
Enterprise_population;AT342;2009;8702
Enterprise_population;AT342;2010;8971
Enterprise_population;AT342;2011;9070
Enterprise_population;AT342;2012;9092
Enterprise_population;AT342;2013;8142
Enterprise_population;AT342;2014;8092
Enterprise_population;AT342;2015;7927
Enterprise_population;AT342;2016;7870
Enterprise_population;AT342;2017;7919
Enterprise_population;AT342;2018;7857
Enterprise_population;AT342;2019;7832
Enterprise_population;ATZ;2008;0
Enterprise_population;ATZ;2009;0
Enterprise_population;ATZ;2010;0
Enterprise_population;ATZ;2011;0
Enterprise_population;ATZ;2012;0
Enterprise_population;ATZ;2013;0
Enterprise_population;ATZ;2014;0
Enterprise_population;ATZ;2015;0
Enterprise_population;ATZ;2016;0
Enterprise_population;ATZ;2017;0
Enterprise_population;ATZ;2018;0
Enterprise_population;ATZ;2019;0
Enterprise_population;ATZZ;2008;0
Enterprise_population;ATZZ;2009;0
Enterprise_population;ATZZ;2010;0
Enterprise_population;ATZZ;2011;0
Enterprise_population;ATZZ;2012;0
Enterprise_population;ATZZ;2013;0
Enterprise_population;ATZZ;2014;0
Enterprise_population;ATZZ;2015;0
Enterprise_population;ATZZ;2016;0
Enterprise_population;ATZZ;2017;0
Enterprise_population;ATZZ;2018;0
Enterprise_population;ATZZ;2019;0
Enterprise_population;ATZZZ;2008;0
Enterprise_population;ATZZZ;2009;0
Enterprise_population;ATZZZ;2010;0
Enterprise_population;ATZZZ;2011;0
Enterprise_population;ATZZZ;2012;0
Enterprise_population;ATZZZ;2013;0
Enterprise_population;ATZZZ;2014;0
Enterprise_population;ATZZZ;2015;0
Enterprise_population;ATZZZ;2016;0
Enterprise_population;ATZZZ;2017;0
Enterprise_population;ATZZZ;2018;0
Enterprise_population;ATZZZ;2019;0
Enterprise_population;BG;2011;210061
Enterprise_population;BG;2012;210762
Enterprise_population;BG;2013;212449
Enterprise_population;BG;2014;214926
Enterprise_population;BG;2015;220539
Enterprise_population;BG;2016;210638
Enterprise_population;BG;2017;216274
Enterprise_population;BG;2018;213582
Enterprise_population;BG;2019;197928
Enterprise_population;BG3;2011;91708
Enterprise_population;BG3;2012;91798
Enterprise_population;BG3;2013;91859
Enterprise_population;BG3;2014;92561
Enterprise_population;BG3;2015;94770
Enterprise_population;BG3;2016;89466
Enterprise_population;BG3;2017;91217
Enterprise_population;BG3;2018;88575
Enterprise_population;BG3;2019;81447
Enterprise_population;BG31;2011;16105
Enterprise_population;BG31;2012;16036
Enterprise_population;BG31;2013;15976
Enterprise_population;BG31;2014;16037
Enterprise_population;BG31;2015;16491
Enterprise_population;BG31;2016;15796
Enterprise_population;BG31;2017;16063
Enterprise_population;BG31;2018;15449
Enterprise_population;BG31;2019;14609
Enterprise_population;BG311;2011;1831
Enterprise_population;BG311;2012;1785
Enterprise_population;BG311;2013;1778
Enterprise_population;BG311;2014;1785
Enterprise_population;BG311;2015;1871
Enterprise_population;BG311;2016;1714
Enterprise_population;BG311;2017;1735
Enterprise_population;BG311;2018;1644
Enterprise_population;BG311;2019;1531
Enterprise_population;BG312;2011;2508
Enterprise_population;BG312;2012;2502
Enterprise_population;BG312;2013;2454
Enterprise_population;BG312;2014;2471
Enterprise_population;BG312;2015;2562
Enterprise_population;BG312;2016;2461
Enterprise_population;BG312;2017;2519
Enterprise_population;BG312;2018;2394
Enterprise_population;BG312;2019;2269
Enterprise_population;BG313;2011;3283
Enterprise_population;BG313;2012;3215
Enterprise_population;BG313;2013;3202
Enterprise_population;BG313;2014;3183
Enterprise_population;BG313;2015;3259
Enterprise_population;BG313;2016;3170
Enterprise_population;BG313;2017;3252
Enterprise_population;BG313;2018;3179
Enterprise_population;BG313;2019;3038
Enterprise_population;BG314;2011;5325
Enterprise_population;BG314;2012;5360
Enterprise_population;BG314;2013;5357
Enterprise_population;BG314;2014;5461
Enterprise_population;BG314;2015;5552
Enterprise_population;BG314;2016;5331
Enterprise_population;BG314;2017;5403
Enterprise_population;BG314;2018;5230
Enterprise_population;BG314;2019;4942
Enterprise_population;BG315;2011;3158
Enterprise_population;BG315;2012;3174
Enterprise_population;BG315;2013;3185
Enterprise_population;BG315;2014;3137
Enterprise_population;BG315;2015;3247
Enterprise_population;BG315;2016;3120
Enterprise_population;BG315;2017;3154
Enterprise_population;BG315;2018;3002
Enterprise_population;BG315;2019;2829
Enterprise_population;BG32;2011;19677
Enterprise_population;BG32;2012;19741
Enterprise_population;BG32;2013;19594
Enterprise_population;BG32;2014;19757
Enterprise_population;BG32;2015;20280
Enterprise_population;BG32;2016;19404
Enterprise_population;BG32;2017;19656
Enterprise_population;BG32;2018;19001
Enterprise_population;BG32;2019;17628
Enterprise_population;BG321;2011;5605
Enterprise_population;BG321;2012;5656
Enterprise_population;BG321;2013;5651
Enterprise_population;BG321;2014;5788
Enterprise_population;BG321;2015;5901
Enterprise_population;BG321;2016;5688
Enterprise_population;BG321;2017;5782
Enterprise_population;BG321;2018;5609
Enterprise_population;BG321;2019;5238
Enterprise_population;BG322;2011;3429
Enterprise_population;BG322;2012;3426
Enterprise_population;BG322;2013;3369
Enterprise_population;BG322;2014;3367
Enterprise_population;BG322;2015;3454
Enterprise_population;BG322;2016;3206
Enterprise_population;BG322;2017;3247
Enterprise_population;BG322;2018;3153
Enterprise_population;BG322;2019;2959
Enterprise_population;BG323;2011;6198
Enterprise_population;BG323;2012;6230
Enterprise_population;BG323;2013;6133
Enterprise_population;BG323;2014;6199
Enterprise_population;BG323;2015;6353
Enterprise_population;BG323;2016;6065
Enterprise_population;BG323;2017;6151
Enterprise_population;BG323;2018;5986
Enterprise_population;BG323;2019;5474
Enterprise_population;BG324;2011;2368
Enterprise_population;BG324;2012;2317
Enterprise_population;BG324;2013;2368
Enterprise_population;BG324;2014;2328
Enterprise_population;BG324;2015;2393
Enterprise_population;BG324;2016;2379
Enterprise_population;BG324;2017;2372
Enterprise_population;BG324;2018;2252
Enterprise_population;BG324;2019;2073
Enterprise_population;BG325;2011;2077
Enterprise_population;BG325;2012;2112
Enterprise_population;BG325;2013;2073
Enterprise_population;BG325;2014;2075
Enterprise_population;BG325;2015;2179
Enterprise_population;BG325;2016;2066
Enterprise_population;BG325;2017;2104
Enterprise_population;BG325;2018;2001
Enterprise_population;BG325;2019;1884
Enterprise_population;BG33;2011;27133
Enterprise_population;BG33;2012;26855
Enterprise_population;BG33;2013;27079
Enterprise_population;BG33;2014;27053
Enterprise_population;BG33;2015;27758
Enterprise_population;BG33;2016;25521
Enterprise_population;BG33;2017;26239
Enterprise_population;BG33;2018;25445
Enterprise_population;BG33;2019;22856
Enterprise_population;BG331;2011;16558
Enterprise_population;BG331;2012;16361
Enterprise_population;BG331;2013;16583
Enterprise_population;BG331;2014;16598
Enterprise_population;BG331;2015;17074
Enterprise_population;BG331;2016;15546
Enterprise_population;BG331;2017;16077
Enterprise_population;BG331;2018;15657
Enterprise_population;BG331;2019;13911
Enterprise_population;BG332;2011;4698
Enterprise_population;BG332;2012;4684
Enterprise_population;BG332;2013;4731
Enterprise_population;BG332;2014;4676
Enterprise_population;BG332;2015;4750
Enterprise_population;BG332;2016;4314
Enterprise_population;BG332;2017;4384
Enterprise_population;BG332;2018;4246
Enterprise_population;BG332;2019;3692
Enterprise_population;BG333;2011;3638
Enterprise_population;BG333;2012;3578
Enterprise_population;BG333;2013;3540
Enterprise_population;BG333;2014;3569
Enterprise_population;BG333;2015;3650
Enterprise_population;BG333;2016;3457
Enterprise_population;BG333;2017;3558
Enterprise_population;BG333;2018;3357
Enterprise_population;BG333;2019;3147
Enterprise_population;BG334;2011;2239
Enterprise_population;BG334;2012;2232
